type,inputUser,inputGroup,action,modificationMode,name,specialDatesToDeleteList,specialCommentsToDeleteList,yearlyDatesToDeleteList,yearlyCommentsToDeleteList,businessDatesToDeleteList,businessCommentsToDeleteList,selected
calendar,MIGRATION,MIGRATION,modification,remove,HES,20100106,Twelfth Day,,,,,No
calendar,MIGRATION,MIGRATION,modification,remove,HES,20101224,Christmas Eve,,,,,No
calendar,MIGRATION,MIGRATION,modification,remove,HES,20120622,Midsummer's Eve,,,,,No
calendar,MIGRATION,MIGRATION,modification,remove,HES,20121225,Christmas Day,,,,,No
calendar,MIGRATION,MIGRATION,modification,remove,MIS,20071231,New Year's Eve,,,,,No
calendar,MIGRATION,MIGRATION,modification,remove,MIS,20120815,Assumption Day,,,,,No
calendar,MIGRATION,MIGRATION,modification,remove,MIS,20130501,Labour Day,,,,,No
calendar,MIGRATION,MIGRATION,modification,remove,HES,20130501,Labour Day,,,,,No
calendar,MIGRATION,MIGRATION,modification,remove,MIS,20170414,Good Friday,,,,,No
calendar,MIGRATION,MIGRATION,modification,remove,MIS,20180330,Good Friday,,,,,No
calendar,MIGRATION,MIGRATION,modification,remove,MIS,20190422,Easter Monday,,,,,No
calendar,MIGRATION,MIGRATION,modification,remove,MIS,20200410,Good Friday,,,,,No
calendar,MIGRATION,MIGRATION,modification,remove,HES,20241225,Christmas Day,,,,,No
calendar,MIGRATION,MIGRATION,modification,remove,HES,20250421,Easter Monday,,,,,No
calendar,MIGRATION,MIGRATION,modification,remove,HES,20270106,Twelfth Day,,,,,No
calendar,MIGRATION,MIGRATION,modification,remove,HES,20270326,Good Friday,,,,,No
calendar,MIGRATION,MIGRATION,modification,remove,HES,20271206,Independence Day,,,,,No
calendar,MIGRATION,MIGRATION,modification,remove,HES,20280501,Labour Day,,,,,No
calendar,MIGRATION,MIGRATION,modification,remove,HES,20291224,Christmas Eve,,,,,No
calendar,MIGRATION,MIGRATION,modification,remove,HES,20291225,Christmas Day,,,,,No
calendar,MIGRATION,MIGRATION,modification,remove,HES,20310414,Easter Monday,,,,,No
calendar,MIGRATION,MIGRATION,modification,remove,SHW,20070101,New Year,,,,,No
calendar,MIGRATION,MIGRATION,modification,remove,HEX,20170501,Labour Day,,,,,No
calendar,MIGRATION,MIGRATION,modification,remove,HEX,20180402,Easter Monday,,,,,No
calendar,MIGRATION,MIGRATION,modification,remove,HEX,20180622,Midsummer's Eve,,,,,No
calendar,MIGRATION,MIGRATION,modification,remove,HEX,20181224,Christmas Eve,,,,,No
calendar,MIGRATION,MIGRATION,modification,remove,SHW,20070221,Chinese New Year,,,,,No
calendar,MIGRATION,MIGRATION,modification,remove,SHW,20071004,National Day,,,,,No
calendar,MIGRATION,MIGRATION,modification,remove,SHX,20070507,Labor Day,,,,,No
calendar,MIGRATION,MIGRATION,modification,remove,SHX,20071001,National Day,,,,,No
calendar,MIGRATION,MIGRATION,modification,remove,SHX,20071003,National Day,,,,,No
calendar,MIGRATION,MIGRATION,modification,remove,HEX,20071231,New Year's Eve,,,,,No
calendar,MIGRATION,MIGRATION,modification,remove,HEX,20080320,Maundy Thursday,,,,,No
calendar,MIGRATION,MIGRATION,modification,remove,HEX,20090521,Ascension Day,,,,,No
calendar,MIGRATION,MIGRATION,modification,remove,HEX,20101206,Independence Day,,,,,No
calendar,MIGRATION,MIGRATION,modification,remove,HEX,20110602,Ascension Day,,,,,No
calendar,MIGRATION,MIGRATION,modification,remove,HEX,20110624,Midsummer's Eve,,,,,No
calendar,MIGRATION,MIGRATION,modification,remove,HEX,20120405,Maundy Thursday,,,,,No
calendar,MIGRATION,MIGRATION,modification,remove,HEX,20140501,Labour Day,,,,,No
calendar,MIGRATION,MIGRATION,modification,remove,HEX,20160106,Twelfth Day,,,,,No
calendar,MIGRATION,MIGRATION,modification,remove,HEX,20181226,Boxing Day,,,,,No
calendar,MIGRATION,MIGRATION,modification,remove,HEX,20191224,Christmas Eve,,,,,No
calendar,MIGRATION,MIGRATION,modification,remove,HEX,20191225,Christmas Day,,,,,No
calendar,MIGRATION,MIGRATION,modification,remove,HEX,20200409,Maundy Thursday,,,,,No
calendar,MIGRATION,MIGRATION,modification,remove,HEX,20201224,Christmas Eve,,,,,No
calendar,MIGRATION,MIGRATION,modification,remove,HEX,20210401,Maundy Thursday,,,,,No
calendar,MIGRATION,MIGRATION,modification,remove,HEX,20230106,Twelfth Day,,,,,No
calendar,MIGRATION,MIGRATION,modification,remove,HEX,20230410,Easter Monday,,,,,No
calendar,MIGRATION,MIGRATION,modification,remove,HEX,20260619,Midsummer's Eve,,,,,No
calendar,MIGRATION,MIGRATION,modification,remove,HEX,20261231,New Year's Eve,,,,,No
calendar,MIGRATION,MIGRATION,modification,remove,HEX,20270329,Easter Monday,,,,,No
